trajectory_id,source_trajectory_id,motion_primitive,score_gain,start_raw_score,end_raw_score,path_xyz_length,net_xyz_distance,max_xyz_step,max_yaw_step,physical_path_signature
scene_1_1_primitive_sample20_001_crane_down,scene_1_1_s1_primitive_00006,crane_down,3.527922,7.127104,3.599183,22.437507,22.162534,0.293366,2.026913,0ec9ec7ed2d3bd1e3547935a88dd6615a3766764
scene_1_1_primitive_sample20_002_crane_down,scene_1_1_s1_primitive_00502,crane_down,2.944673,7.127104,4.182431,47.242053,46.659189,0.611216,0.887672,1d9fb03ea4e4661f79c9f14217db6c82f5fdfd03
scene_1_1_primitive_sample20_003_crane_down,scene_1_1_s1_primitive_00998,crane_down,4.19468,7.127104,2.932424,26.833588,26.502378,0.346785,2.026913,301ad677c6a73e8410c9f7f856a021dba55aa8a9
scene_1_1_primitive_sample20_004_crane_up,scene_1_1_s1_primitive_00007,crane_up,3.75825,7.127104,3.368855,20.987136,20.728331,0.271846,2.026913,9e6430b96fa2864c673ebf5f9b9a5b4ac6ca9ef9
scene_1_1_primitive_sample20_005_crane_up,scene_1_1_s1_primitive_00503,crane_up,1.445502,7.127104,5.681602,47.242053,46.659189,0.611216,1.457293,64d4632851b4f5d6b1b0e816a2c815e77ef05563
scene_1_1_primitive_sample20_006_crane_up,scene_1_1_s1_primitive_00999,crane_up,3.573461,7.127104,3.553643,37.466811,37.004011,0.483037,2.026913,aadaf900f3b00389301baf5001bb044b0e112d64
scene_1_1_primitive_sample20_007_dolly_sway,scene_1_1_s1_primitive_00008,dolly_sway,2.578709,7.127104,4.548395,48.390912,46.621199,0.658833,2.596533,d63f3d0493298194fc44cfad7731b4c1596c72b4
scene_1_1_primitive_sample20_008_dolly_sway,scene_1_1_s1_primitive_00504,dolly_sway,3.507042,7.127104,3.620062,43.208268,41.627882,0.588011,2.026913,dcd64af0b16be092c0d7a0d70ebc1207a6563d6c
scene_1_1_primitive_sample20_009_dolly_sway,scene_1_1_s1_primitive_01000,dolly_sway,2.14261,7.127104,4.984494,38.475058,37.068651,0.527696,0.318052,7a36e78c929640652772cc40eee798925c5168be
scene_1_1_primitive_sample20_010_orbit_arc,scene_1_1_s1_primitive_00003,orbit_arc,2.045492,7.127104,5.081613,48.903724,47.174397,0.881074,0.887672,ccc7357165cc1a06a880e93c68f2fdd75ac0f129
scene_1_1_primitive_sample20_011_orbit_arc,scene_1_1_s1_primitive_00499,orbit_arc,2.88281,7.127104,4.244294,48.990683,46.910736,1.035805,0.887672,bbef7696b67e05e372d087eff3106cb279df92cb
scene_1_1_primitive_sample20_012_orbit_arc,scene_1_1_s1_primitive_00995,orbit_arc,2.876989,7.127104,4.250115,31.93507,31.060974,0.437236,1.267419,194931177f5633f0eb844aa37a15f1093aa6489d
scene_1_1_primitive_sample20_013_s_curve,scene_1_1_s1_primitive_00001,s_curve,4.295701,7.127104,2.831403,48.915569,47.225386,0.640215,2.026913,ea3fe43875e894499722524a6141ab8296fd3a32
scene_1_1_primitive_sample20_014_s_curve,scene_1_1_s1_primitive_00993,s_curve,2.310347,7.127104,4.816757,37.503356,36.2075,0.49085,2.40666,2bdc86a95133e9a4e8a437e56a2c889825d8dfe2
scene_1_1_primitive_sample20_015_spiral_down,scene_1_1_s1_primitive_00004,spiral_down,4.661907,7.127104,2.465197,23.591971,22.162534,0.322848,2.026913,f09d8523c2877de200f0dc27d9263ae49d4d458c
scene_1_1_primitive_sample20_016_spiral_down,scene_1_1_s1_primitive_00996,spiral_down,1.354375,7.127104,5.772729,32.960297,31.960679,0.435355,2.026913,6e7824406d26b6a01e12761fa21712312b3c2d1c
scene_1_1_primitive_sample20_017_spiral_up,scene_1_1_s1_primitive_00005,spiral_up,3.486048,7.127104,3.641056,24.101522,22.162534,0.334115,2.026913,71b21ed06ce7181a4f4c758ce049710a65d0f7c0
scene_1_1_primitive_sample20_018_spiral_up,scene_1_1_s1_primitive_00997,spiral_up,3.438656,7.127104,3.688449,38.147623,36.256404,0.495851,1.267419,9f01aa6ff82f31a9651cec4fa7734c8bf162db37
scene_1_1_primitive_sample20_019_wide_s_curve,scene_1_1_s1_primitive_00002,wide_s_curve,4.279429,7.127104,2.847675,52.095465,46.569549,0.725479,2.026913,9ffa07a0eb74aa18761b172c153ccbcf29773a30
scene_1_1_primitive_sample20_020_wide_s_curve,scene_1_1_s1_primitive_00994,wide_s_curve,4.189819,7.127104,2.937285,41.624564,36.732523,0.585025,2.026913,48008ee7168803717e98f7c035afad8e16c340ae
