trajectory_id,source_trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,score_gain,start_node_id,endpoint_node_id,path_xyz_length,net_xyz_distance,bbox_diag,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_low_to_high_00001,scene_1_1_traj_00001,80,15.8,2.831403,7.127104,4.295701,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8953|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.225386,47.225386,,0.597791,0.59779,135.0,1.708861,90.0,1.139241,0.168456,11a80f9626119648a76975a0d7fd03edf76f49c8
scene_1_1_low_to_high_00002,scene_1_1_traj_00002,80,15.8,2.847675,7.127104,4.279429,scene_1|scene_1.1_y01_medium_dense_y01_0p60|176|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.569549,46.569549,,0.589489,0.589488,135.0,1.708861,90.0,1.139241,0.167818,f6a58a7ee9796f36bc800c022646252468e5b2bd
scene_1_1_low_to_high_00003,scene_1_1_traj_00003,80,15.8,5.081613,7.127104,2.045491,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2007|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.174397,47.174397,,0.597145,0.597144,45.0,0.569621,0.0,0.0,0.080214,f9e4f35b2bab7867b7f3bfa60dab109642a3e645
scene_1_1_low_to_high_00004,scene_1_1_traj_00004,80,15.8,2.465197,7.127104,4.661907,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9239|105,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,22.162534,22.162534,,0.280539,0.280538,135.0,1.708861,90.0,1.139241,0.182817,8c8cc8fa692db67851869ed3dbcc21567daa3e2e
scene_1_1_low_to_high_00005,scene_1_1_traj_00005,80,15.8,3.641056,7.127104,3.486048,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9240|105,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,22.162534,22.162534,,0.280539,0.280538,135.0,1.708861,90.0,1.139241,0.136705,96fe338fc7f8e6c056c561a4e4458594b0195dc9
scene_1_1_low_to_high_00006,scene_1_1_traj_00006,80,15.8,3.599183,7.127104,3.527921,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9064|97,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,22.162534,22.162534,,0.280539,0.280538,135.0,1.708861,90.0,1.139241,0.138347,5643f06f9bf324568fcda814323ee69ce329a69f
scene_1_1_low_to_high_00007,scene_1_1_traj_00007,80,15.8,3.368855,7.127104,3.758249,scene_1|scene_1.1_y01_medium_dense_y01_0p60|285|13,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,20.728331,20.728331,,0.262384,0.262384,135.0,1.708861,90.0,1.139241,0.14738,2f126fa31c9784fcf9ac6901f04a7ecb20b27667
scene_1_1_low_to_high_00008,scene_1_1_traj_00008,80,15.8,4.548395,7.127104,2.578709,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7092|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.621199,46.621199,,0.590143,0.590142,180.0,2.278482,0.0,0.0,0.101124,b9250bcec382cd288768eefe29e5e866cfc94b48
scene_1_1_low_to_high_00009,scene_1_1_traj_00009,80,15.8,3.988665,7.127104,3.138439,scene_1|scene_1.1_y01_medium_dense_y01_0p60|164|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.569549,46.569549,,0.589489,0.589488,75.0,0.949368,45.0,0.569621,0.123074,e003eca737e5de92c4d4dc82389b0e2d78215d66
scene_1_1_low_to_high_00010,scene_1_1_traj_00010,80,15.8,4.463548,7.127104,2.663556,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8948|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.225386,47.225386,,0.597791,0.59779,75.0,0.949368,45.0,0.569621,0.104451,8f8d0850ff53a7f19f0132ee5a6e4007ff9b18cb
scene_1_1_low_to_high_00011,scene_1_1_traj_00011,80,15.8,3.419876,7.127104,3.707228,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2016|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.174397,47.174397,,0.597145,0.597144,165.0,2.088608,45.0,0.569621,0.145379,95b0d04dbdd7db27efef562f00c0322c5c1bb612
scene_1_1_low_to_high_00012,scene_1_1_traj_00012,80,15.8,4.441784,7.127104,2.68532,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7096|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.621199,46.621199,,0.590143,0.590142,45.0,0.569621,45.0,0.569621,0.105305,e3e9114fa9f478b07990e573b62ba5d62228d68e
scene_1_1_low_to_high_00013,scene_1_1_traj_00013,80,15.8,4.038572,7.127104,3.088532,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7102|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.621199,46.621199,,0.590143,0.590142,45.0,0.569621,45.0,0.569621,0.121117,f9fa048fc637f096b4928e85a226bbee2eeea800
scene_1_1_low_to_high_00014,scene_1_1_traj_00014,80,15.8,3.095844,7.127104,4.03126,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4332|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.157567,47.157567,,0.596932,0.596931,165.0,2.088608,45.0,0.569621,0.158086,3e03d9bf6e408f9aca962797c19113947e6ef4fc
scene_1_1_low_to_high_00015,scene_1_1_traj_00015,80,15.8,3.863337,7.127104,3.263767,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9012|95,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,32.035496,32.035496,,0.405514,0.405513,165.0,2.088608,45.0,0.569621,0.127989,939204a3015abb40a3eaa9e00e94f8ad3ac32659
scene_1_1_low_to_high_00016,scene_1_1_traj_00016,80,15.8,2.941789,7.127104,4.185315,scene_1|scene_1.1_y01_medium_dense_y01_0p60|239|11,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,31.060567,31.060567,,0.393173,0.393172,105.0,1.329114,45.0,0.569621,0.164127,b764d864833bd5925db2b389bf8e475f3557cc0f
scene_1_1_low_to_high_00017,scene_1_1_traj_00017,80,15.8,3.256454,7.127104,3.87065,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8030|50,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.772977,46.772977,,0.592064,0.592063,135.0,1.708861,90.0,1.139241,0.151788,e8b70299b22abfd7bb323c395b5a226618bdebc2
scene_1_1_low_to_high_00018,scene_1_1_traj_00018,80,15.8,2.289473,7.127104,4.837631,scene_1|scene_1.1_y01_medium_dense_y01_0p60|1099|50,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.721495,46.721495,,0.591412,0.591411,135.0,1.708861,90.0,1.139241,0.189708,65cc7d908c3ac64d625153282f8081a21a25996a
scene_1_1_low_to_high_00019,scene_1_1_traj_00019,80,15.8,3.0018,7.127104,4.125304,scene_1|scene_1.1_y01_medium_dense_y01_0p60|171|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.569549,46.569549,,0.589489,0.589488,15.0,0.189874,45.0,0.569621,0.161774,1d4b34e90362048930468f76031c9397d4119545
scene_1_1_low_to_high_00020,scene_1_1_traj_00020,80,15.8,4.435776,7.127104,2.691328,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8938|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.225386,47.225386,,0.597791,0.59779,90.0,1.139241,0.0,0.0,0.10554,4705637c101a0b5799a5f9ca766c8db391d3dd0a
scene_1_1_low_to_high_00021,scene_1_1_traj_00021,80,15.8,5.750193,7.127104,1.376911,scene_1|scene_1.1_y01_medium_dense_y01_0p60|1079|50,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.721495,46.721495,,0.591412,0.591411,135.0,1.708861,0.0,0.0,0.053995,ad8bae2adfc278837db12c233a81eb9bfe23d2e8
