trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,endpoint_node_id,endpoint_dataset_id,endpoint_sample_index,endpoint_point_index,path_xyz_length,net_xyz_distance,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_traj_00001,80,15.8,7.127104,2.831403,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8953|92,scene_1.1_y04_medium_dense_y04_4p39,8953,92,47.225386,47.225386,0.597791,0.59779,135.0,1.708861,90.0,1.139241,0.168456,50f87c64cefb3622cd614968cd8a8e516c0802f1
scene_1_1_traj_00002,80,15.8,7.127104,2.847675,scene_1|scene_1.1_y01_medium_dense_y01_0p60|176|8,scene_1.1_y01_medium_dense_y01_0p60,176,8,46.569549,46.569549,0.589489,0.589488,135.0,1.708861,90.0,1.139241,0.167818,b1ab78b06ceb05707f2cd053d11a83f60428366a
scene_1_1_traj_00003,80,15.8,7.127104,5.081613,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2007|92,scene_1.1_y01_medium_dense_y01_0p60,2007,92,47.174397,47.174397,0.597145,0.597144,45.0,0.569621,0.0,0.0,0.080214,6665f0c225ab90ddf6b7c791114f945b71abdf54
scene_1_1_traj_00004,80,15.8,7.127104,2.465197,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9239|105,scene_1.1_y04_medium_dense_y04_4p39,9239,105,22.162534,22.162534,0.280539,0.280538,135.0,1.708861,90.0,1.139241,0.182817,4f8745e4c063114b56cfbf7689fc1189d82e31a8
scene_1_1_traj_00005,80,15.8,7.127104,3.641056,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9240|105,scene_1.1_y04_medium_dense_y04_4p39,9240,105,22.162534,22.162534,0.280539,0.280538,135.0,1.708861,90.0,1.139241,0.136705,efa57e5025f307443323648e1c1b04e4188c26d7
scene_1_1_traj_00006,80,15.8,7.127104,3.599183,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9064|97,scene_1.1_y04_medium_dense_y04_4p39,9064,97,22.162534,22.162534,0.280539,0.280538,135.0,1.708861,90.0,1.139241,0.138347,4ebc936d8bfc607be4012b97606ff09171577516
scene_1_1_traj_00007,80,15.8,7.127104,3.368855,scene_1|scene_1.1_y01_medium_dense_y01_0p60|285|13,scene_1.1_y01_medium_dense_y01_0p60,285,13,20.728331,20.728331,0.262384,0.262384,135.0,1.708861,90.0,1.139241,0.14738,49e0fd027677542448fb37fe1e808610f4c1a7ea
scene_1_1_traj_00008,80,15.8,7.127104,4.548395,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7092|8,scene_1.1_y04_medium_dense_y04_4p39,7092,8,46.621199,46.621199,0.590143,0.590142,180.0,2.278482,0.0,0.0,0.101124,a589265292dfee9d62665e0a7e03a62e1bc505d1
scene_1_1_traj_00009,80,15.8,7.127104,3.988665,scene_1|scene_1.1_y01_medium_dense_y01_0p60|164|8,scene_1.1_y01_medium_dense_y01_0p60,164,8,46.569549,46.569549,0.589489,0.589488,75.0,0.949368,45.0,0.569621,0.123074,359934596526fe3b2e1d7086b8773a874f514c0f
scene_1_1_traj_00010,80,15.8,7.127104,4.463548,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8948|92,scene_1.1_y04_medium_dense_y04_4p39,8948,92,47.225386,47.225386,0.597791,0.59779,75.0,0.949368,45.0,0.569621,0.104451,1c530f48a9f7e38230082e4133d31ad7690da7e5
scene_1_1_traj_00011,80,15.8,7.127104,3.419876,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2016|92,scene_1.1_y01_medium_dense_y01_0p60,2016,92,47.174397,47.174397,0.597145,0.597144,165.0,2.088608,45.0,0.569621,0.145379,7829a6e68693eba1f51ab7ea22780a057406a2f9
scene_1_1_traj_00012,80,15.8,7.127104,4.441784,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7096|8,scene_1.1_y04_medium_dense_y04_4p39,7096,8,46.621199,46.621199,0.590143,0.590142,45.0,0.569621,45.0,0.569621,0.105305,f364d3b7dd5be4c465b56f50de8062e8b82d0c63
