trajectory_id,keyframe_count,duration_sec,start_score,end_score,score_gain,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_optimal_00001,13,13.225,5.036644,7.127104,2.09046,0.241772,31.135838,19.885838,3.153523,270.0,90.0,90.0,6524a1523a85a2dbc5574566b40ecc6703001b39,1a8f6c975a6be8afba112fd098ad53ab0890c44b
scene_1_1_true_gain2_optimal_00002,14,14.080682,4.904992,7.127104,2.222112,0.241772,33.918338,21.768338,4.536091,270.0,90.0,90.0,5ec7c71d702b353a0edbc85221a20bf872706c25,2496f41c30fed3d3411991097a96ff5fb922795f
scene_1_1_true_gain2_optimal_00003,14,14.644318,5.036644,7.127104,2.09046,0.241772,34.555838,22.405838,3.153523,360.0,90.0,90.0,cf352f9d9d4acb31908be73a53774ef8c8141b51,de70238c9f0da1209211576c68e2c7fc31506ed9
scene_1_1_true_gain2_optimal_00004,14,14.478646,5.036644,7.127104,2.09046,0.241772,35.323021,24.073021,3.153523,270.0,90.0,90.0,4a7293e8ec9938efef6157f38dca9a38ab3f2191,94b0a373ddbc375e4afeac62b76bff76573c5667
scene_1_1_true_gain2_optimal_00005,15,14.936364,4.831691,7.127104,2.295413,0.241772,35.800838,23.650838,6.188308,270.0,90.0,90.0,11ae8648cc147eb623f38c04dd2b8d172ec715c4,a6e41961a6ed6133922f90b911625276ab3c8c47
scene_1_1_true_gain2_optimal_00006,15,13.387808,5.069877,7.127104,2.057227,0.248538,36.139725,25.878177,9.22189,270.0,0.0,115.754104,f4079898b1dbfd615fdcfc5ea1a8a15ee4707e10,567ff0515fb18e505614012e664b59802d99f469
scene_1_1_true_gain2_optimal_00007,15,13.401461,5.069877,7.127104,2.057227,0.248538,36.148736,25.908213,9.22189,252.0,0.0,115.754104,9587edd3743bfa22c2d7a1942f192fed3b2590cd,b5b732263dc0141f8952db5407d6e0ab34153a84
scene_1_1_true_gain2_optimal_00008,15,13.449826,5.069877,7.127104,2.057227,0.248538,36.219738,26.014616,9.22189,225.0,0.0,115.754104,1c25e56c8a45adad54784acf864c17d7c9c69b39,9698bac758ddd75909e1928006138760146def9d
scene_1_1_true_gain2_optimal_00009,15,13.502338,5.069877,7.127104,2.057227,0.248538,36.263908,26.130143,9.22189,279.0,0.0,102.945823,c6bd646cddc1fd4fc16efbeec3d8e4dfa4d53333,e807cdddef801857be0f283ee94621c7f76da0f0
scene_1_1_true_gain2_optimal_00010,16,13.409533,5.069877,7.127104,2.057227,0.248538,36.453596,25.925973,9.22189,270.0,0.0,115.754104,2bb35472fb12ff7ad66c170e7f553ca100dd7b2f,1cddcc7d0fc456691202bcf7fd4ca02fd3f3ad33
