trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_3_true_gain2_distance10_00001,scene_1_3_true_gain2_no_backtrack_balanced_00001,1,8,16.174744,4.572392,6.702875,2.130484,0.081663,0.449389,40.185588,35.584436,27.425307,1.297504,0,0.0,0.0,0,6.594846,94.5,0.0,90.0,2b7191beb8f28177dbb9c183466ae317969b6d2e,0d49c734dd8209d4a210370729476d776a923f7d
scene_1_3_true_gain2_distance10_00002,scene_1_3_true_gain2_no_backtrack_balanced_00002,1,9,17.903961,4.318213,6.702875,2.384662,0.089247,0.449628,43.871286,39.388714,27.809608,1.416371,0,0.0,0.0,0,5.32,112.5,0.0,90.0,0f60774980eb1b9e870ff0a9b93b022e1780af2d,c11cffc1463c386b7a565bc2a85abcbec6b944d6
scene_1_3_true_gain2_distance10_00003,scene_1_3_true_gain2_no_backtrack_balanced_00003,1,8,16.658782,4.572392,6.702875,2.130484,0.08008,0.449628,41.12766,36.649319,27.425307,1.336332,0,0.0,0.0,0,6.63113,87.5,0.0,90.0,d7a67434e39731edf8e185db9a43537541cf4408,e3266a6fee48448f022bef5a20d264b2df30660f
scene_1_3_true_gain2_distance10_00004,scene_1_3_true_gain2_no_backtrack_balanced_00004,1,8,16.738677,4.572392,6.702875,2.130484,0.089247,0.445562,41.563186,36.82509,27.425307,1.342741,0,0.0,0.0,0,6.63113,114.5,0.0,90.0,d123163b7ed3607d9d10d53677799bebb0dfc91b,6fea84eade4e932a8cd68b72302009a181817ec3
scene_1_3_true_gain2_distance10_00005,scene_1_3_true_gain2_no_backtrack_balanced_00005,1,9,17.903027,4.318213,6.702875,2.384662,0.08008,0.449628,44.0872,39.386659,27.809608,1.416297,0,0.0,0.0,0,5.32,87.5,0.0,90.0,e94940c837a3e4c1e44f56d2cd62e856b0ee77f3,8f732b64be55869355ff301809a8875df838660f
scene_1_3_true_gain2_distance10_00006,scene_1_3_true_gain2_no_backtrack_balanced_00006,1,8,16.708101,4.572392,6.702875,2.130484,0.076895,0.449628,41.508497,36.757823,27.425307,1.340288,0,0.0,0.0,0,6.63113,112.5,0.0,90.0,1056dc5474cb5382b8e3df529c34ded7405268aa,1566a98596e655c324c9851e22dff25c53e8de9b
scene_1_3_true_gain2_distance10_00007,scene_1_3_true_gain2_no_backtrack_balanced_00007,1,9,17.788325,4.318213,6.702875,2.384662,0.08008,0.444246,43.867967,39.134315,27.809608,1.407223,0,0.0,0.0,0,5.32,114.5,0.0,90.0,5e6fb571c24eeba1e2c6c88f00913fcca9aaf512,14d4ce8ed1a9dc69f060fa66a27e9d7da7b63da0
scene_1_3_true_gain2_distance10_00008,scene_1_3_true_gain2_no_backtrack_balanced_00008,1,8,16.449833,4.572392,6.702875,2.130484,0.081663,0.449628,41.424515,36.189633,27.425307,1.319571,0,0.0,0.0,0,6.397482,67.5,0.0,95.694382,be60abf518d3fb2b7299faff13d302663a1a5169,86c01cf174cbafea9e1df801a391771255f6116e
scene_1_3_true_gain2_distance10_00009,scene_1_3_true_gain2_no_backtrack_balanced_00009,1,8,16.63912,4.572392,6.702875,2.130484,0.118509,0.444246,41.269326,36.606063,27.425307,1.334755,0,0.0,0.0,0,6.63113,114.5,0.0,90.0,4a2f705f587604088705e55f30138efd71942c2a,a2ab1ae708204170cd6c512e70e8b81e4ba53c84
scene_1_3_true_gain2_distance10_00010,scene_1_3_true_gain2_no_backtrack_balanced_00010,1,9,17.96448,4.318213,6.702875,2.384662,0.117194,0.449628,44.15847,39.521856,27.809608,1.421158,0,0.0,0.0,0,5.32,87.5,0.0,90.0,19dd3b6e5b1fa5235f1bf60988db109ab7209a75,3a72b6f27696781b7779bb927a86aa1dcc2c087f
scene_1_3_true_gain2_distance10_00011,scene_1_3_true_gain2_no_backtrack_balanced_00011,1,8,16.646791,4.572392,6.702875,2.130484,0.08008,0.449628,41.18057,36.622941,27.425307,1.33537,0,0.0,0.0,0,6.63113,112.5,0.0,90.0,724405fffffe52d8592b7168385c7eaf33adc651,475e7bc7061ddadfb801a0189e8ece3de17b541e
scene_1_3_true_gain2_distance10_00012,scene_1_3_true_gain2_no_backtrack_balanced_00012,1,9,17.851566,4.318213,6.702875,2.384662,0.118509,0.449628,43.746485,39.273445,27.809608,1.412226,0,0.0,0.0,0,5.32,87.5,0.0,90.0,1acfd0b5ff7e7e6ec9082a26e4e8c130817783cf,407509b2f4e1e89bbd1278bb7c06c2293da6b171
scene_1_3_true_gain2_distance10_00013,scene_1_3_true_gain2_no_backtrack_balanced_00013,1,8,16.902044,4.572392,6.702875,2.130484,0.076895,0.449628,42.057036,37.184497,27.425307,1.355846,0,0.0,0.0,0,6.63113,112.5,0.0,90.0,23d19f630c8d6be338d318235d6038fba6f52fbb,453f2bba959b0f219e4c642169ba7f6cba72312c
scene_1_3_true_gain2_distance10_00014,scene_1_3_true_gain2_no_backtrack_balanced_00014,1,9,17.973759,4.318213,6.702875,2.384662,0.08008,0.449628,43.966118,39.54227,27.809608,1.421892,0,0.0,0.0,0,5.32,94.5,0.0,90.0,16b2f0fc8385cf8814ef7648c7c6b001fe8ae4e2,15d9a7b91d17e04041f164ee653607bb7b09e474
scene_1_3_true_gain2_distance10_00015,scene_1_3_true_gain2_no_backtrack_balanced_00015,1,8,16.690581,4.572392,6.702875,2.130484,0.08008,0.445562,41.540474,36.719277,27.425307,1.338883,0,0.0,0.0,0,6.63113,114.5,0.0,90.0,3d939053368968f8155a6feae83f1a08f92c425c,7ee7ccea0bc6535dd530dcfa3dc1c6635c4fb86c
scene_1_3_true_gain2_distance10_00016,scene_1_3_true_gain2_no_backtrack_balanced_00016,1,9,18.137197,4.318213,6.702875,2.384662,0.089247,0.449628,44.709807,39.901833,27.809608,1.434822,0,0.0,0.0,0,5.32,112.5,0.0,90.0,42dba297c8280804dc78a5dffb6a11e2d1041955,3a2b5b4472229534dfbe800ce17889fc4b9aed64
scene_1_3_true_gain2_distance10_00017,scene_1_3_true_gain2_no_backtrack_balanced_00017,1,8,16.880009,4.572392,6.702875,2.130484,0.08008,0.449628,41.982658,37.13602,27.425307,1.354079,0,0.0,0.0,0,6.63113,112.5,0.0,90.0,21e39bceb2872d26a18760ce6a59fa4134b4a446,26653a65608f6f7cd2a28f0507856eaf77d8d42d
scene_1_3_true_gain2_distance10_00018,scene_1_3_true_gain2_no_backtrack_balanced_00018,1,9,17.791681,4.318213,6.702875,2.384662,0.08008,0.449628,43.685126,39.141697,27.809608,1.407488,0,0.0,0.0,0,5.32,87.5,0.0,90.0,6b4cf8679001c98dfa95d76617b081e7a8bba528,54909151f0208b809695e56b9aac3e27435f640d
scene_1_3_true_gain2_distance10_00019,scene_1_3_true_gain2_no_backtrack_balanced_00019,1,8,17.039068,4.572392,6.702875,2.130484,0.081663,0.449628,42.144385,37.485951,27.425307,1.366838,0,0.0,0.0,0,6.63113,112.5,0.0,90.0,31367fe3bcf272d98174ab720558e6e39c1b94b7,e297ec4f54a58c30d3cd27c1e1ba2edbd5a52a0c
