trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_2_again_traj_00001,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,3.80348,4.487432,6.53858,2.051148,0.239254,0.431176,9.311179,7.198,5.257962,1.368972,0,0.0,0.0,0,1.814255,45.0,0.0,73.900125,7b00a211dc16e0bf002ee9901013c368e5d9965b,a819a797e9692f32ccd582c8870512f90440d871
scene_2_again_traj_00002,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,7.015026,4.406662,6.53858,2.131918,0.232974,0.439698,10.589468,6.892848,5.219996,1.32047,0,0.0,0.0,0,1.714286,180.0,45.0,67.925285,7c451f29014b2be4b1f50708e2708299d62b68b6,98eadc1d490e1d2108c55d68bc8f75df42ecfda0
scene_2_again_traj_00003,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,4.345299,4.470516,6.53858,2.068064,0.240672,0.427157,8.877085,5.939761,4.042696,1.469258,0,0.0,0.0,0,1.702153,60.0,45.0,90.0,e2a27706ebc98351ed8b17ffb637e2dec941d4ba,145349b62fc85991cdaa6be14a423e30d3d7ad8e
scene_2_again_traj_00004,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,4.043346,4.501273,6.53858,2.037307,0.062118,0.44491,8.702152,6.101783,4.736138,1.288346,0,0.0,0.0,0,1.702153,90.0,0.0,90.0,845493040145e377715910d1e04c21bdc0ade8a6,7c515f755c33e3bc43a0f466052c049e8a113d25
scene_2_again_traj_00005,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,4.799044,4.44615,6.53858,2.09243,0.120293,0.434024,9.88115,7.322183,5.62288,1.302212,0,0.0,0.0,0,1.714286,90.0,0.0,99.515638,526cba6bea7d9f9de94915e2abf7a63123792f75,f1bba06ae22097707ac2f1cd9eb6b868b7af211a
scene_2_again_traj_00006,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,3.574168,4.519966,6.53858,2.018614,0.229188,0.44859,7.850013,6.239245,4.900878,1.273087,0,0.0,0.0,0,1.702153,45.0,0.0,73.900125,dde05985b3264e41abe6c037d63551b77472aa7e,f77452e3f94903b93e9380c53dd63e4810a38f69
scene_2_again_traj_00007,scene_2_true_gain2_no_backtrack_balanced_00001,1,8,5.397403,4.225607,6.53858,2.312973,0.229188,0.44859,9.336791,6.861791,5.106459,1.343747,0,0.0,0.0,0,1.714286,90.0,45.0,47.823351,f3b556496fb3e00ffe73b801e0fe4ce81a4675a7,0e3e4449f1f2b305cadc45df534e7d30adc9fb79
scene_2_again_traj_00008,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,4.562393,4.441557,6.53858,2.097023,0.232974,0.431176,9.851308,7.613643,5.997054,1.269564,0,0.0,0.0,0,1.714286,90.0,0.0,65.605008,facead1fd210acce3c7a06c446df92045da70797,bbed397f7aa85633877eee9d798a2cee38ddc5c3
scene_2_again_traj_00009,scene_2_true_gain2_no_backtrack_balanced_00001,1,8,3.646772,4.360066,6.53858,2.178514,0.210231,0.403388,9.795512,8.022898,6.53792,1.227133,0,0.0,0.0,0,1.701094,0.0,0.0,65.605008,76b59181cfdca20f07b8d3c7ab7a1f3a11d1ad65,368df3e94ee92590bd878ff024170e8370ab830a
scene_2_again_traj_00010,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,4.614931,4.453319,6.53858,2.085261,0.272204,0.406811,8.498723,5.826957,4.256749,1.368875,0,0.0,0.0,0,1.714286,135.0,0.0,66.547229,c9fc7706b13a87e227b98867ec2122f2e954d7e2,095b6a0ba4d60c0d1bf0769d99e89eaeaf639405
scene_2_again_traj_00011,scene_2_true_gain2_no_backtrack_balanced_00001,1,8,3.704411,4.377093,6.53858,2.161487,0.144283,0.427361,10.053646,8.149704,6.031549,1.351179,0,0.0,0.0,0,1.520504,0.0,0.0,90.0,bfa74a3b225d9b97bcc780b40fcb05812dad5989,c77f9168deb5c01ca8deae0fef5d6e132607db90
scene_2_again_traj_00012,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,7.166003,4.4182,6.53858,2.12038,0.197903,0.415041,9.757647,6.438436,5.422602,1.187333,0,0.0,0.0,0,1.702153,60.0,135.0,69.421128,93182b8b83ebce9a667c329da3649c11db56afd5,ca3fc8127323041317ca6ed34871a0dbf7cdc9c7
scene_2_again_traj_00013,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,7.015026,4.433209,6.53858,2.105371,0.232974,0.431176,8.503624,5.82663,5.748988,1.013505,0,0.0,0.0,0,1.714286,180.0,45.0,20.19941,f1f63faa8a0a749ece5b94c4f0f5d227c8651e2b,850c8d2b6d7c119b73a6c7a31487bbf382f5c25a
scene_2_again_traj_00014,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,3.518022,4.495946,6.53858,2.042634,0.229188,0.44859,7.887491,6.115724,4.731379,1.292588,0,0.0,0.0,0,1.520504,45.0,0.0,90.0,aa5ffe10643833ecba1c8bbcfdad536de209a591,2a2329409d0da64e00f75737dab8a220e4b54396
scene_2_again_traj_00015,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,4.113732,4.365969,6.53858,2.172611,0.329721,0.431176,9.713282,6.811288,4.588115,1.48455,0,0.0,0.0,0,1.702153,90.0,0.0,90.0,595c4abd345f87f35f8585db44ca747f5ac65f8d,f972a029b92c70153f85f52e173c126e3d69b839
scene_2_again_traj_00016,scene_2_true_gain2_no_backtrack_balanced_00001,1,8,5.077639,4.436197,6.53858,2.102383,0.222921,0.403388,9.573798,7.782234,6.647231,1.170748,0,0.0,0.0,0,1.714286,0.0,45.0,57.339998,3a90a6fcb05a3a785bbb479975296b678aa49b3b,11088396da4aa1b9ff94898dbfc2cc773f334097
scene_2_again_traj_00017,scene_2_true_gain2_no_backtrack_balanced_00001,1,7,5.810103,4.456046,6.53858,2.082534,0.245347,0.424965,9.799246,6.284732,4.411304,1.424688,0,0.0,0.0,0,1.714286,0.0,90.0,90.0,e48d91187bbfb2be491262ae3bc264e89f261293,243d50248f2e7ed172b572dc1eae1607653925c3
