trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_3_2_traj_00001,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,8,21.61896,3.29494,6.735721,3.44078,0.344669,0.583925,50.947851,47.561712,44.156029,1.077128,0,0.0,0.0,0,10.846311,225.0,45.0,46.113921,22f0a3ced6b2f868416a47576c6a6319d716dbde,dee38dfed0096ebddab23f0c20ca428852b0d75c
scene_3_2_traj_00002,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,11,26.8032,4.063816,6.735721,2.671905,0.056885,0.515892,60.843361,58.96704,55.265752,1.066973,0,0.0,0.0,0,10.846311,45.0,45.0,46.113921,e598cee515ab3791ada475730468aba6740db38c,3002f420f603272751227993fb91c815ff3efec5
scene_3_2_traj_00003,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,9,19.453736,3.2338,6.735721,3.50192,0.29702,0.583925,47.484875,42.798219,30.205701,1.416892,0,0.0,0.0,0,6.201682,165.0,45.0,90.0,5e638413ee2318565a36d7ade20b296977b3d7d2,aa093443d62680b32cc611458f9d198e481c3e3e
scene_3_2_traj_00004,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,8,18.730645,4.210451,6.735721,2.52527,0.130378,0.545876,44.410141,41.207419,35.652785,1.155798,0,0.0,0.0,0,8.381559,75.0,45.0,90.0,36843e7fe1cc2ec49a66d7929b6661cd430f56a1,5b82ca14f399c5b356711d96042433e5fa83554b
scene_3_2_traj_00005,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,11,26.095448,4.007711,6.735721,2.72801,0.04842,0.596207,60.186308,57.409986,54.606789,1.051334,0,0.0,0.0,0,10.846311,135.0,45.0,46.113921,d50e49dfb0c20037815b7724f188e98bb6735444,1ea7f4db8d131fd21f60dc7fdb1c4b99e0d31093
scene_3_2_traj_00006,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,9,20.500236,3.634696,6.735721,3.101025,0.095381,0.583925,49.548883,44.148883,38.847275,1.136473,0,0.0,0.0,0,8.100098,225.0,90.0,90.0,cc9b47aa4f9770104580c3e0987902318d96b48a,b717617ff63f3679aa008dc2bdbf06a3034b605c
scene_3_2_traj_00007,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,10,25.428996,4.176687,6.735721,2.559033,0.04842,0.552059,58.700477,55.94379,50.900596,1.099079,0,0.0,0.0,0,10.846311,75.0,45.0,46.113921,62d585018b89133f18e64c9409fdc5f3688114a9,d81f39b7066dcb2b52de70d8d155ab2c70d473b7
scene_3_2_traj_00008,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,11,26.321382,3.362322,6.735721,3.373398,0.079548,0.561818,62.032041,57.907041,48.044615,1.205276,0,0.0,0.0,0,6.201682,165.0,45.0,90.0,20ccfe659a78fb595646686f13df8907c70228c6,801732f551e8dafc8e206e21126c694e0da8e3fb
scene_3_2_traj_00009,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,8,22.201228,3.528301,6.735721,3.20742,0.279825,0.582958,52.70486,48.842702,41.949995,1.164308,0,0.0,0.0,0,12.588978,165.0,45.0,52.684563,cd1f79beba5ad70330f0ed077a941165def68924,6d808412d9c42d0bae24458c94e1c7cc13535abe
scene_3_2_traj_00010,scene_3_2_true_gain2p5_no_backtrack_balanced_00001,1,9,21.528638,4.038949,6.735721,2.696771,0.103825,0.551883,51.449659,47.363003,45.999907,1.029633,0,0.0,0.0,0,11.276467,285.0,45.0,28.082807,0fe4e253d41e70547cc57fabb280bbfa63c41709,2242f357a7353f378a7c707e6e940f00eb2530ec
