trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_00001,,,,7,14.80229,5.107841,7.127104,2.019264,2.019264,,0.112292,0.398964,35.164536,32.565038,31.364747,1.038269,0,0.0,0.0,0,10.345,0.542857,0.0,180.0,20.0,36.050419,fc72fb1a33656d0da5c5c3f9c6bf65a0ce8b28aa,f821868b8d5d081cb63745d3bf8cb0d30f374b8d
scene_1_1_true_gain2_no_backtrack_balanced_00002,,,,8,15.161726,4.376335,7.127104,2.75077,2.75077,,0.307844,0.449242,37.273253,33.355796,31.262541,1.066957,0,0.0,0.0,0,5.323754,0.534247,0.0,165.0,45.0,97.055393,ff0a6d5e2bb647bba836523c7287aa8474ef3314,7445bdb1489d192cd45029533ae61b3311ca0215
scene_1_1_true_gain2_no_backtrack_balanced_00003,,,,9,17.249968,4.728579,7.127104,2.398526,2.398526,,0.078369,0.449242,40.431664,37.949931,36.229417,1.047489,0,0.0,0.0,0,5.1725,0.5125,0.0,90.0,0.0,97.259537,86e972f3581939836330ef714d8326e6810c8579,3193f48cadb28f5ce5dd0ce5f79aca004209ed2a
scene_1_1_true_gain2_no_backtrack_balanced_00004,,,,8,10.915413,4.791137,7.127104,2.335967,2.335967,,0.171745,0.449242,28.066476,23.911214,21.181412,1.128877,0,0.0,0.0,0,2.613462,0.529412,0.0,135.0,0.0,96.23172,6a7b8c31f780fb86379d07b8bd7ce47885abcff7,ca4722f258156b04b28bd02863bdabdfa9e3d95e
scene_1_1_true_gain2_no_backtrack_balanced_00005,,,,7,13.082619,5.013915,7.127104,2.113189,2.113189,,0.216386,0.44496,31.85736,28.781762,26.165952,1.09997,0,0.0,0.0,0,5.646783,0.409836,0.0,105.0,45.0,90.0,6be86e0b6d1d05121a4db513de70157fdcd77fda,95572fec07193e78223f4417144645fbca8b6833
scene_1_1_true_gain2_no_backtrack_balanced_00006,,,,8,11.027707,4.788507,7.127104,2.338597,2.338597,,0.237509,0.449242,29.148272,24.260956,20.69,1.172593,1,0.038941,0.038941,0,2.613462,0.584906,0.0,105.0,45.0,96.23172,b3a4adb59720310c397b04cbfa006a860ebdd6d6,946944f57fa374c6891944bb3a291445af3ca6a3
scene_1_1_true_gain2_no_backtrack_balanced_00007,,,,10,10.815857,4.229247,7.127104,2.897857,2.897857,,0.171745,0.449242,30.197758,23.482452,15.722395,1.493567,2,0.295749,0.295749,0,1.59682,0.538462,0.0,180.0,0.0,96.23172,42a54e59451b180872c1bd09b4c531f9a9df4103,8b22bee64eed1ed0787e409e776e9c0e4c4cbea8
scene_1_1_true_gain2_no_backtrack_balanced_00008,,,,7,12.03408,4.957609,7.127104,2.169495,2.169495,,0.182924,0.444459,29.265077,25.259976,21.068085,1.198969,0,0.0,0.0,0,3.153523,0.403846,1.26,180.0,0.0,90.0,517681ec98467249623c189aaa859fa6163fff73,9b9b25813b80cfbcdc476bbdc7fec273edcb3262
scene_1_1_true_gain2_no_backtrack_balanced_00009,,,,8,15.067082,4.79701,7.127104,2.330094,2.330094,,0.119175,0.449242,36.697882,33.14758,31.960284,1.037149,0,0.0,0.0,0,2.613462,0.492308,0.0,162.0,45.0,96.23172,ad88c4aa1210020f785b5766466dfbdf44e6994b,f639778325f49324346ed67b76397166de66712a
scene_1_1_true_gain2_no_backtrack_balanced_00010,,,,9,12.514453,4.454705,7.127104,2.672399,2.672399,,0.121146,0.449242,31.444326,22.550136,15.681971,1.437966,1,0.246305,0.246305,0,2.265261,0.48,0.0,207.0,90.0,98.718077,f773d9c9d23ace253692e13e449698ccbe53ff6a,7a333c7c0983d197c2426d391a8dcdeb0b4f40df
